title,description,similarity_score
Industrial Engineering Technologists,"Industrial Engineering Technologists Assist industrial engineers in such activities as quality control, inventory control, or material flow methods. May conduct statistical studies or analyze production costs.",0.028560198495621893
Residential Advisors,"Residential Advisors Coordinate activities in residential facilities in secondary and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",0.028355797481682734
Sales Managers,"Sales Managers Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.02829012321851218
Cost Estimators,"Cost Estimators Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",0.0282875624653416
Insurance Policy Processing Clerks,"Insurance Policy Processing Clerks Process applications for, changes to, reinstatement of, and cancellation of insurance policies. Duties include reviewing insurance applications to ensure that all questions have been answered, compiling data on insurance policy changes, changing policy records to conform to insured party's specifications, compiling data on lapsed insurance policies to determine automatic reinstatement according to company policies, canceling insurance policies as requested by agents, and verifying the accuracy of insurance company records.",0.028203576367222778
Mental Health Counselors,"Mental Health Counselors Counsel with emphasis on prevention. Work with individuals and groups to promote optimum mental and emotional health. May help individuals deal with issues associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; and aging.",0.0281589515127552
Sociologists,"Sociologists Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.",0.02807785921681521
"Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities. Includes physicians, dentists, public health specialists, pharmacologists, and medical pathologists who primarily conduct research.",0.027994035703798256
"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers Conduct sub-surface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",0.027891847541070443
"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.02784171421296642
"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.02784171421296642
Urban and Regional Planners,"Urban and Regional Planners Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas.",0.027801699470186847
Municipal Clerks,Municipal Clerks Draft agendas and bylaws for town or city council; record minutes of council meetings; answer official correspondence; keep fiscal records and accounts; and prepare reports on civic needs.,0.02779813623179968
Forest and Conservation Technicians,"Forest and Conservation Technicians Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts, under the direction of foresters; or train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.",0.027720173703756013
Manufacturing Engineering Technologists,"Manufacturing Engineering Technologists Develop tools, implement designs, or integrate machinery, equipment, or computer technologies to ensure effective manufacturing processes.",0.027587737046786798
"History Teachers, Postsecondary","History Teachers, Postsecondary Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.02753587622746061
Financial Analysts,Financial Analysts Conduct quantitative analyses of information affecting investment programs of public or private institutions.,0.02744520771008932
"Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",0.027438376420866037
Broadcast Technicians,"Broadcast Technicians Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate transmitter to broadcast radio or television programs.",0.02742211149392896
"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.027414195958778576
"Child, Family, and School Social Workers","Child, Family, and School Social Workers Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",0.027315531653420454
Rehabilitation Counselors,"Rehabilitation Counselors Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",0.02729175187742751
Occupational Therapists,"Occupational Therapists Assess, plan, organize, and participate in rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays.",0.027273453971484837
Industrial Ecologists,Industrial Ecologists Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,0.02724277428484849
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems.",0.027168928023543024
Energy Engineers,"Energy Engineers Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",0.02691413673784103
Nannies,"Nannies Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation.",0.026765228157703186
Nanotechnology Engineering Technicians,"Nanotechnology Engineering Technicians Operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of molecular or macromolecular composition. Work under the supervision of engineering staff.",0.026596124304220616
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.026579691246604274
Nuclear Medicine Technologists,"Nuclear Medicine Technologists Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques.",0.02640271233093343
Electromechanical Engineering Technologists,"Electromechanical Engineering Technologists Assist electromechanical engineers in such activities as computer-based process control, instrumentation, or machine design. May prepare layouts of machinery or equipment, plan the flow of work, conduct statistical studies, or analyze production costs.",0.026401716701670082
Infantry Officers,"Infantry Officers Direct, train, and lead infantry units in ground combat operations. Duties include directing deployment of infantry weapons, vehicles, and equipment; directing location, construction, and camouflage of infantry positions and equipment; managing field communications operations; coordinating with armor, artillery, and air support units; performing strategic and tactical planning, including battle plan development; and leading basic reconnaissance operations.",0.026294154410531873
Informatics Nurse Specialists,"Informatics Nurse Specialists Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",0.02598416632493145
Concierges,"Concierges Assist patrons at hotel, apartment, or office building with personal services. May take messages, arrange or give advice on transportation, business services or entertainment, or monitor guest requests for housekeeping and maintenance.",0.025615329036070153
Radar and Sonar Technicians,"Radar and Sonar Technicians Operate equipment using radio or sound wave technology to identify, track, and analyze objects or natural phenomena of military interest. Includes airborne, shipboard, and terrestrial positions. May perform minor maintenance.",0.025592561324505096
Atmospheric and Space Scientists,"Atmospheric and Space Scientists Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.",0.025589556730118368
Financial Quantitative Analysts,"Financial Quantitative Analysts Develop quantitative financial products used to inform individuals or financial institutions engaged in saving, lending, investing, borrowing, or managing risk. Investigate methods for financial analysis to create mathematical models used to develop improved analytical tools or advanced financial investment instruments.",0.025517376715847015
"Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll and Timekeeping Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",0.025368222324185
Natural Sciences Managers,"Natural Sciences Managers Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",0.025253280649460648
Furniture Finishers,"Furniture Finishers Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",0.025170630089109428
Mechanical Engineering Technologists,"Mechanical Engineering Technologists Assist mechanical engineers in such activities as generation, transmission, or use of mechanical or fluid energy. Prepare layouts of machinery or equipment or plan the flow of work. May conduct statistical studies or analyze production costs.",0.0251126400968361
Acupuncturists,Acupuncturists Provide treatment of symptoms and disorders using needles and small electrical currents. May provide massage treatment. May also provide preventive treatments.,0.025028900996141804
Nuclear Power Reactor Operators,"Nuclear Power Reactor Operators Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.",0.024872462742907952
Clinical Psychologists,"Clinical Psychologists Diagnose or evaluate mental and emotional disorders of individuals through observation, interview, and psychological tests, and formulate and administer programs of treatment.",0.02477509669363001
Billing and Posting Clerks,"Billing and Posting Clerks Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",0.02475698157353878
Nanosystems Engineers,"Nanosystems Engineers Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",0.02464691478808128
Pathologists,"Pathologists Diagnose presence and stage of diseases using laboratory techniques and patient specimens. Study the nature, cause, and development of diseases. May perform autopsies.",0.024631846302964534
"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.02452887027842169
Payroll and Timekeeping Clerks,"Payroll and Timekeeping Clerks Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks.",0.024506576451134732
"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.024475944966133364
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",0.02440921773712852
Couriers and Messengers,"Couriers and Messengers Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance.",0.02414569482142039
Parking Enforcement Workers,"Parking Enforcement Workers Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.",0.02410667311590472
Special Forces,"Special Forces Implement unconventional operations by air, land, or sea during combat or peacetime as members of elite teams. These activities include offensive raids, demolitions, reconnaissance, search and rescue, and counterterrorism. In addition to their combat training, special forces members often have specialized training in swimming, diving, parachuting, survival, emergency medicine, and foreign languages. Duties include conducting advanced reconnaissance operations and collecting intelligence information; recruiting, training, and equipping friendly forces; conducting raids and invasions on enemy territories; laying and detonating explosives for demolition targets; locating, identifying, defusing, and disposing of ordnance; and operating and maintaining sophisticated communications equipment.",0.02392048275562933
Water Resource Specialists,"Water Resource Specialists Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",0.023779192116965754
Anthropologists,"Anthropologists Research, evaluate, and establish public policy concerning the origins of humans; their physical, social, linguistic, and cultural development; and their behavior, as well as the cultures, organizations, and institutions they have created.",0.023393777053641103
Spa Managers,"Spa Managers Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",0.023322594941207576
Team Assemblers,Team Assemblers Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.,0.023295035179940117
"Dispatchers, Except Police, Fire, and Ambulance","Dispatchers, Except Police, Fire, and Ambulance Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.",0.023191508723331297
"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.023153210766864572
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaners Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",0.02301543739198788
Sports Medicine Physicians,"Sports Medicine Physicians Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities.",0.022983066352755026
Animal Scientists,"Animal Scientists Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.",0.02294968132312706
Computer and Information Research Scientists,"Computer and Information Research Scientists Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",0.02281335328776748
"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.022661252454043886
Network and Computer Systems Administrators,"Network and Computer Systems Administrators Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures.",0.022476675808154704
Coaches and Scouts,Coaches and Scouts Instruct or coach groups or individuals in the fundamentals of sports. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching degrees should be reported in the appropriate teaching category.,0.02246941879922702
Credit Authorizers,Credit Authorizers Authorize credit charges against customers' accounts.,0.022454683218496013
"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finishers Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.",0.02244558670180849
Survey Researchers,"Survey Researchers Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",0.022358278815332977
Biologists,"Biologists Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",0.022329608736059752
Exercise Physiologists,"Exercise Physiologists Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility.",0.02206337096360956
Producers and Directors,"Producers and Directors Produce or direct stage, television, radio, video, or motion picture productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.",0.02205345965736649
Aerospace Engineers,"Aerospace Engineers Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",0.021983850762074278
"Bus Drivers, School or Special Client","Bus Drivers, School or Special Client Transport students or special clients, such as the elderly or persons with disabilities. Ensure adherence to safety rules. May assist passengers in boarding or exiting.",0.021969096370262356
Forensic Science Technicians,"Forensic Science Technicians Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",0.021962638848222468
"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products.",0.02174845107762561
Mechanical Engineers,"Mechanical Engineers Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",0.021712445555026154
Critical Care Nurses,Critical Care Nurses Provide advanced nursing care for patients in critical or coronary care units.,0.021663459438049513
Insurance Claims and Policy Processing Clerks,"Insurance Claims and Policy Processing Clerks Process new insurance policies, modifications to existing policies, and claims forms. Obtain information from policyholders to verify the accuracy and completeness of information on claims forms, applications and related documents, and company records. Update existing policies and company records to reflect changes requested by policyholders and insurance company representatives.",0.02165266636009488
Market Research Analysts and Marketing Specialists,"Market Research Analysts and Marketing Specialists Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution.",0.021476456841535128
Materials Engineers,"Materials Engineers Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",0.02144688012272116
Soil and Plant Scientists,"Soil and Plant Scientists Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.",0.02115636367689667
"Directors- Stage, Motion Pictures, Television, and Radio","Directors- Stage, Motion Pictures, Television, and Radio Interpret script, conduct rehearsals, and direct activities of cast and technical crew for stage, motion pictures, television, or radio programs.",0.02113695449887714
Fitness Trainers and Aerobics Instructors,"Fitness Trainers and Aerobics Instructors Instruct or coach groups or individuals in exercise activities. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills.",0.02109582028822357
Electrical Drafters,"Electrical Drafters Develop specifications and instructions for installation of voltage transformers, overhead or underground cables, and related electrical equipment used to conduct electrical energy from transmission lines or high-voltage distribution lines to consumers.",0.021014297602034902
Biochemical Engineers,"Biochemical Engineers Develop usable, tangible products, using knowledge of biology, chemistry, or engineering. Solve problems related to materials, systems, or processes that interact with humans, plants, animals, microorganisms, or biological materials.",0.020976952738742307
Electricians,"Electricians Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.",0.020926693012597537
Astronomers,"Astronomers Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.",0.020888207994715767
Librarians,"Librarians Administer libraries and perform related library services. Work in a variety of settings, including public libraries, educational institutions, museums, corporations, government agencies, law firms, non-profit organizations, and healthcare providers. Tasks may include selecting, acquiring, cataloguing, classifying, circulating, and maintaining library materials; and furnishing reference, bibliographical, and readers' advisory services. May perform in-depth, strategic research, and synthesize, analyze, edit, and filter information. May set up or work with databases and information systems to catalogue and access information.",0.020764389066832676
Dietitians and Nutritionists,"Dietitians and Nutritionists Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research.",0.02063156128645908
Speech-Language Pathology Assistants,"Speech-Language Pathology Assistants Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",0.02060611647652412
Radio Frequency Identification Device Specialists,Radio Frequency Identification Device Specialists Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,0.020258260882478365
Actuaries,"Actuaries Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",0.02009231024015029
Quality Control Systems Managers,"Quality Control Systems Managers Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",0.020080723672759537
Architectural and Civil Drafters,"Architectural and Civil Drafters Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",0.01998554763902389
Veterinarians,"Veterinarians Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.",0.01986404885710507
Electrical and Electronic Equipment Assemblers,"Electrical and Electronic Equipment Assemblers Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",0.019735032625157904
Nuclear Medicine Physicians,"Nuclear Medicine Physicians Diagnose and treat diseases using radioactive materials and techniques. May monitor radionuclide preparation, administration, and disposition.",0.019623256764082084
Park Naturalists,"Park Naturalists Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",0.019569327212635337
Transportation Engineers,"Transportation Engineers Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",0.01932500240870728
Computer User Support Specialists,"Computer User Support Specialists Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",0.01917234267421609
Solar Photovoltaic Installers,"Solar Photovoltaic Installers Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.",0.019156087956987682
Tool and Die Makers,"Tool and Die Makers Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools.",0.019148322703433515
Environmental Economists,"Environmental Economists Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.",0.019125192795876704
Recycling Coordinators,Recycling Coordinators Supervise curbside and drop-off recycling programs for municipal governments or private firms.,0.019080847211063876
Social and Human Service Assistants,"Social and Human Service Assistants Assist in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",0.018711782265555713
"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.018654834862113372
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide Handlers, Sprayers, and Applicators, Vegetation Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or botanical crops. Usually requires specific training and State or Federal certification.",0.01855734627366825
Air Crew Members,"Air Crew Members Perform in-flight duties to ensure the successful completion of combat, reconnaissance, transport, and search and rescue missions. Duties include operating aircraft communications and detection equipment, including establishing satellite linkages and jamming enemy communications capabilities; conducting pre-flight, in-flight, and post-flight inspections of onboard equipment; operating and maintaining aircraft weapons and defensive systems; operating and maintaining aircraft in-flight refueling systems; executing aircraft safety and emergency procedures; computing and verifying passenger, cargo, fuel, and emergency and special equipment weight and balance data; and conducting cargo and personnel drops.",0.018534462668860944
Advertising and Promotions Managers,"Advertising and Promotions Managers Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",0.018514584856699542
Cashiers,"Cashiers Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",0.018506414549905897
Skincare Specialists,Skincare Specialists Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,0.01850282182539545
Regulatory Affairs Managers,"Regulatory Affairs Managers Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",0.018485196687525865
Political Scientists,"Political Scientists Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decision-making, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.",0.01847986503058308
Advanced Practice Psychiatric Nurses,Advanced Practice Psychiatric Nurses Provide advanced nursing care for patients with psychiatric disorders. May provide psychotherapy under the direction of a psychiatrist.,0.01814680664676408
Endoscopy Technicians,Endoscopy Technicians Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.,0.017880834734387775
Mechanical Drafters,"Mechanical Drafters Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",0.017799041687350213
Gaming Cage Workers,"Gaming Cage Workers In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. May accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.",0.017779382697950905
"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",0.01774530810807281
Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers and Repairers Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,0.017744372932225902
"Legal Support Workers, All Other","Legal Support Workers, All Other All legal support workers not listed separately.",0.017718576243622417
Nuclear Engineers,"Nuclear Engineers Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",0.0176794043002795
Aircraft Cargo Handling Supervisors,"Aircraft Cargo Handling Supervisors Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.",0.01764957067113951
